PartNumber,Material,Mu,AL,Ae,Wa,Le,Mlt,PartCost,Vendor,MaxCurrent_A,MaxFreq_kHz,CoreShape,ShapeFamily,MaterialType,DatasheetUrl,WindowWidthMm,WindowHeightMm,SurfaceAreaWoundMm2,ODInches,IDInches,HTInches
C055140A2,MPP 125,125.0,26.0,1.3,1.27,8.06,7.24,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055140A2.pdf,,,70.0,0.140,0.070,0.060
C055139A2,MPP 147,147.0,31.0,1.3,1.27,8.06,7.24,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055139A2.pdf,,,70.0,0.140,0.070,0.060
0055138AY,MPP 160,160.0,33.0,1.3,1.27,8.06,6.54,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055138AY.pdf,,,70.0,0.140,0.070,0.060
0055134A2,MPP 173,173.0,36.0,1.3,1.27,8.06,7.24,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055134A2.pdf,,,70.0,0.140,0.070,0.060
C055137A2,MPP 200,200.0,42.0,1.3,1.27,8.06,7.24,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055137A2.pdf,,,70.0,0.140,0.070,0.060
0055135AY,MPP 300,300.0,62.0,1.3,1.27,8.06,6.54,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055135AY.pdf,,,70.0,0.140,0.070,0.060
0055150AY,MPP 125,125.0,35.0,2.11,2.32,9.42,9.20,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055150AY.pdf,,,110.0,0.155,0.088,0.100
C055149A2,MPP 147,147.0,41.0,2.11,2.32,9.42,9.20,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055149A2.pdf,,,110.0,0.155,0.088,0.100
C055148A2,MPP 160,160.0,45.0,2.11,2.32,9.42,9.20,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055148A2.pdf,,,110.0,0.155,0.088,0.100
C055144A2,MPP 173,173.0,48.0,2.11,2.32,9.42,9.20,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055144A2.pdf,,,110.0,0.155,0.088,0.100
0055147A2,MPP 200,200.0,56.0,2.11,2.32,9.42,9.20,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055147A2.pdf,,,110.0,0.155,0.088,0.100
0055145AY,MPP 300,300.0,84.0,2.11,2.32,9.42,8.50,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055145AY.pdf,,,110.0,0.155,0.088,0.100
0055181A2,MPP 60,60.0,20.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055181A2.pdf,,,130.0,0.183,0.093,0.100
0055180AY,MPP 125,125.0,42.0,2.85,2.69,10.6,9.08,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055180AY.pdf,,,130.0,0.183,0.093,0.100
C055179A2,MPP 147,147.0,49.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055179A2.pdf,,,130.0,0.183,0.093,0.100
0055178AY,MPP 160,160.0,53.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055178AY.pdf,,,130.0,0.183,0.093,0.100
0055174AY,MPP 173,173.0,57.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055174AY.pdf,,,130.0,0.183,0.093,0.100
0055177AY,MPP 200,200.0,67.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055177AY.pdf,,,130.0,0.183,0.093,0.100
0055175AY,MPP 300,300.0,99.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055175AY.pdf,,,130.0,0.183,0.093,0.100
0055023A2,MPP 14,14.0,6.0,4.7,4.08,13.6,11.56,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055023A2.pdf,,,200.0,0.250,0.110,0.110
0055823A2,MPP 19,19.0,8.0,4.7,4.12,13.6,11.56,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055823A2.pdf,,,200.0,0.250,0.110,0.110
0055022A2,MPP 26,26.0,10.0,4.7,4.08,13.6,11.56,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055022A2.pdf,,,200.0,0.250,0.110,0.110
0055826A2,MPP 40,40.0,18.0,4.7,4.12,13.6,11.56,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055826A2.pdf,,,200.0,0.250,0.110,0.110
C055021A2,MPP 60,60.0,24.0,4.7,4.08,13.6,11.56,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055021A2.pdf,,,200.0,0.250,0.110,0.110
0055020AY,MPP 125,125.0,50.0,4.7,4.08,13.6,10.85,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055020AY.pdf,,,200.0,0.250,0.110,0.110
C055019A2,MPP 147,147.0,59.0,4.7,4.08,13.6,11.56,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055019A2.pdf,,,200.0,0.250,0.110,0.110
C055018A2,MPP 160,160.0,64.0,4.7,4.08,13.6,11.56,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055018A2.pdf,,,200.0,0.250,0.110,0.110
C055014A2,MPP 173,173.0,69.0,4.7,4.08,13.6,11.56,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055014A2.pdf,,,200.0,0.250,0.110,0.110
C055017A2,MPP 200,200.0,80.0,4.7,4.08,13.6,11.56,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055017A2.pdf,,,200.0,0.250,0.110,0.110
C055015A2,MPP 300,300.0,120.0,4.7,4.08,13.6,11.56,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055015A2.pdf,,,200.0,0.250,0.110,0.110
C055016A2,MPP 550,550.0,220.0,4.7,4.08,13.6,11.56,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055016A2.pdf,,,200.0,0.250,0.110,0.110
0055243A2,MPP 14,14.0,6.0,4.76,3.63,13.6,11.44,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055243A2.pdf,,,190.0,0.260,0.105,0.100
0055247A2,MPP 19,19.0,8.0,4.76,3.66,13.6,11.44,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055247A2.pdf,,,200.0,0.260,0.105,0.100
0055242A2,MPP 26,26.0,11.0,4.76,3.63,13.6,11.44,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055242A2.pdf,,,190.0,0.260,0.105,0.100
0055246A2,MPP 40,40.0,17.0,4.76,3.66,13.6,11.44,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055246A2.pdf,,,200.0,0.260,0.105,0.100
0055241AY,MPP 60,60.0,26.0,4.76,3.63,13.6,10.73,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055241AY.pdf,,,190.0,0.260,0.105,0.100
0055240AY,MPP 125,125.0,54.0,4.76,3.63,13.6,10.73,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055240AY.pdf,,,190.0,0.260,0.105,0.100
C055239A2,MPP 147,147.0,64.0,4.76,3.63,13.6,11.44,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055239A2.pdf,,,190.0,0.260,0.105,0.100
C055238A2,MPP 160,160.0,69.0,4.76,3.63,13.6,11.44,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055238A2.pdf,,,190.0,0.260,0.105,0.100
C055234A2,MPP 173,173.0,75.0,4.76,3.63,13.6,11.44,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055234A2.pdf,,,190.0,0.260,0.105,0.100
C055237A2,MPP 200,200.0,86.0,4.76,3.63,13.6,11.44,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055237A2.pdf,,,190.0,0.260,0.105,0.100
0055235AY,MPP 300,300.0,130.0,4.76,4.30,13.6,10.73,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055235AY.pdf,,,190.0,0.260,0.105,0.100
C055236A2,MPP 550,550.0,242.0,4.76,3.63,13.6,11.44,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055236A2.pdf,,,190.0,0.260,0.105,0.100
