PartNumber,Material,Mu,AL,Ae,Wa,Le,Mlt,PartCost,Vendor,MaxCurrent_A,MaxFreq_kHz,CoreShape,ShapeFamily,MaterialType,DatasheetUrl,WindowWidthMm,WindowHeightMm
C055140A2,MPP 125,125.0,26.0,1.3,1.27,8.06,7.24,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055140A2.pdf,,
C055139A2,MPP 147,147.0,31.0,1.3,1.27,8.06,7.24,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055139A2.pdf,,
0055138AY,MPP 160,160.0,33.0,1.3,1.63,8.06,6.54,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055138AY.pdf,,
0055134A2,MPP 173,173.0,36.0,1.3,1.27,8.06,7.24,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055134A2.pdf,,
C055137A2,MPP 200,200.0,42.0,1.3,1.27,8.06,7.24,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055137A2.pdf,,
0055135AY,MPP 300,300.0,62.0,1.3,1.63,8.06,6.54,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055135AY.pdf,,
0055150AY,MPP 125,125.0,35.0,2.11,2.35,9.42,9.20,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055150AY.pdf,,
C055149A2,MPP 147,147.0,41.0,2.11,2.35,9.42,9.20,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055149A2.pdf,,
C055148A2,MPP 160,160.0,45.0,2.11,2.35,9.42,9.20,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055148A2.pdf,,
C055144A2,MPP 173,173.0,48.0,2.11,2.35,9.42,9.20,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055144A2.pdf,,
0055147A2,MPP 200,200.0,56.0,2.11,2.35,9.42,9.20,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055147A2.pdf,,
0055145AY,MPP 300,300.0,84.0,2.11,2.84,9.42,8.50,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055145AY.pdf,,
0055181A2,MPP 60,60.0,20.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055181A2.pdf,,
0055180AY,MPP 125,125.0,42.0,2.85,3.24,10.6,9.08,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055180AY.pdf,,
C055179A2,MPP 147,147.0,49.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055179A2.pdf,,
0055178AY,MPP 160,160.0,53.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055178AY.pdf,,
0055174AY,MPP 173,173.0,57.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055174AY.pdf,,
0055177AY,MPP 200,200.0,67.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055177AY.pdf,,
0055175AY,MPP 300,300.0,99.0,2.85,2.69,10.6,9.79,0.0,Magnetics,0.0,5000.0,Toroid,T,powder,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055175AY.pdf,,
